iata,distance,total_km,count,nombre,continente,pais,kgFuel,kgCO2PP,distancia_calculadora,kgFuelPorAvion,kgFuelTotales,km_volados_calculadora
BOG,8193,327717,40,El Dorado International Airport,SA,CO,57057.9,399.3,8026,57057.9,2282316,321040
MEX,10553,316592,30,Licenciado Benito Juarez International Airport,NA,MX,79167.2,582.6,9061,79167.2,2375016,271830
EZE,8820,299895,34,Ministro Pistarini International Airport,SA,AR,64762,423.2,10079,64762,2201908,342686
MIA,8568,239896,28,Miami International Airport,NA,US,53338,372.8,7102,53338,1493464,198856
GRU,7747,209178,27,Guarulhos - Governador AndrÃ© Franco Montoro International Airport,SA,BR,66872.3,415.2,8372,66872.3,1805552.1,226044
HAV,8807,202558,23,JosÃ© MartÃ­ International Airport,NA,CU,51214.2,417.4,7456,51214.2,1177926.5999999999,171488
JFK,7808,195192,25,John F Kennedy International Airport,NA,US,45789.7,333.2,5757,45789.7,1144742.5,143925
LPA,1901,176767,93,Gran Canaria Airport,ES,ES,8745.3,149.9,1765,8745.3,813312.8999999999,164145
SCL,9049,171922,19,Comodoro Arturo Merino BenÃ­tez International Airport,SA,CL,72180.4,471.5,10712,72180.4,1371427.5999999999,203528
TFN,1933,158480,82,Tenerife Norte Airport,ES,ES,8739.9,150,1770,8739.9,716671.7999999999,145140
FCO,1763,137527,78,Leonardo da VinciâFiumicino Airport,EU,IT,6692.2,122.5,1328,6692.2,521991.6,103584
FRA,1716,137268,80,Frankfurt am Main Airport,EU,DE,6567,152.4,1418,6567,525360,113440
LHR,1270,123170,97,London Heathrow Airport,EU,GB,7739.3,127.5,1242,7739.3,750712.1,120474
MUC,1916,114980,60,Munich Airport,EU,DE,6785.8,148.7,1495,6785.8,407148,89700
BCN,634,114108,180,Barcelona International Airport,ES,ES,3487.4,62.5,481,3487.4,627732,86580
MVD,8770,114016,13,Carrasco International /General C L Berisso Airport,SA,UY,63392.3,441.2,9941,63392.3,824099.9,129233
TLV,4366,113512,26,Ben Gurion International Airport,AS,IL,19555.4,222.9,3541,19555.4,508440.4,92066
SDQ,7526,112894,15,Las AmÃ©ricas International Airport,NA,DO,45865.2,366.1,6687,45865.2,687978,100305
BRU,1464,106871,73,Brussels Airport,EU,BE,6017.9,137,1313,6017.9,439306.69999999995,95849
PTY,8607,103287,12,Tocumen International Airport,NA,PA,54772.6,431.7,8153,54772.6,657271.2,97836
AMS,1608,102925,64,Amsterdam Airport Schiphol,EU,NL,7725.6,127.5,1456,7725.6,494438.4,93184
UIO,8635,94984,11,Mariscal Sucre International Airport,SA,EC,79115.9,504.5,8731,79115.9,870274.8999999999,96041
PMI,708,94887,134,Palma De Mallorca Airport,ES,ES,3297.4,71,546,3297.4,441851.60000000003,73164
DXB,6699,93791,14,Dubai International Airport,AS,AE,92971,358.5,5644,92971,1301594,79016
ZRH,1554,93241,60,ZÃ¼rich Airport,EU,CH,5323.1,145.1,1236,5323.1,319386,74160
ORY,1130,90423,80,Paris-Orly Airport,EU,FR,5418.1,108.2,1027,5418.1,433448,82160
CUN,9284,83556,9,CancÃºn International Airport,NA,MX,52085.8,411.2,7955,52085.8,468772.2,71595
